Address,Content Type,Status Code,Indexability,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,H1-1,H1-1 Length,H1-2,H1-2 Length,Word Count,Sentence Count,Size (bytes),Transferred (bytes),Word Count,Sentence Count,Average Words Per Sentence,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Response Time,H1-1 Length Length,H1-2 Length Length,Meta Description 1 Length Length,Meta Description 1 Pixel Width Length,Title 1 Length Length,Title 1 Pixel Width Length
https://en.cypris-online.jp/,text/html; charset=UTF-8,200,Indexable,Men's Leather Wallet CYPRIS Official Online Shop,48,436,"CYPRIS official mail order for leather wallets and leather goods. Cypris is a leather product brand that uses carefully selected leather and has been cultivated with Japanese craftsmanship. We offer made-in-Japan leather accessories such as leather wallets, leather bags and belts.",281,1726,Cypris official mail order for small leather goods and leather wallets,70,Updated US and Canadian Normalization Factors for TRACI 2.1,59,2298,634.0,151386,151386,2298,634.0,3.625,1.11,354,226,0,7,6,0,3.561,2,2,3,4,2,3
https://www.tannergoods.com/collections/wallets,text/html; charset=utf-8,200,Indexable,Shop Leather Wallets | Tanner Goods,35,327,"A timeless wallet doesn’t need to be boring. The joy of good design in an everyday object is a simple pleasure we all deserve. No matter your needs, we offer a versatile range of handcrafted wallets from full size bifolds to minimal, front pocket designs.",255,1547,Seen the wooden chair in Fresno that’s tall as a house? It’s part of a teary love story,87,Need help?,10,2031,440.0,794113,69389,2031,440.0,4.616,1.11,361,69,0,7,5,0,1.046,2,2,3,4,2,3
https://ghurka.com/collections/leather-wallets,text/html; charset=utf-8,200,Indexable,"Leather Wallets
 – Ghurka",25,223,Discover the Wooden Chair by Marc Newson crafted by Cappellini. Shop the exclusive selection of Lounge Chairs on Artemest online store.,135,0,Leather Wallets,15,Ask for info,12,453,201.0,454693,49736,453,201.0,2.254,1.11,152,77,0,5,5,0,0.873,2,2,3,1,2,3
https://www.hobobags.com/collections/sale-leather-womens-wallets,text/html; charset=utf-8,200,Indexable,"Sale Wallets
– HOBO",19,185,"Compact, classic and on sale! Shop our leather wallets that feature beautiful exteriors and an interior that holds all your essentials like cards, cash and ID.",159,947,Sale Wallets,12,GUIDELINES,10,720,246.0,650506,83150,720,246.0,2.927,1.11,321,116,0,13,9,0,1.064,2,2,3,3,2,3
https://martindingman.com/collections/all-wallets,text/html; charset=utf-8,200,Indexable,Shop Luxury Leather Wallets for Men | Martin Dingman,52,481,"The Martin Dingman wallet collection has been designed to serve the well dressed man, from alligator billfolds, to Italian calfskin card cases.",143,867,Wallets and Money Clips,23,Your Cart,9,555,164.0,622812,94421,555,164.0,3.384,1.11,150,63,0,2,2,0,0.998,2,1,3,3,2,3
https://buffalojackson.com/collections/leather-wallets,text/html; charset=utf-8,200,Indexable,Premium Handcrafted Leather Wallets | Buffalo Jackson,53,496,Buffalo Jackson's leather wallets are built to last with high-quality stitching & full grain leather that provide functionality & durability. Shop our handcrafted wallets,170,999,Leather Wallets,15,Bachelor of Science in Mathematics,34,3003,708.0,547238,79416,3003,708.0,4.242,1.11,488,171,0,9,7,0,0.458,2,2,3,3,2,3
https://www.mywalit.com/row/wallets/,text/html; charset=UTF-8,200,Indexable,Leather Wallets | Mywalit,25,220,"Bradley Hospital, the nation’s first psychiatric hospital for children, presents Parenting Matters.",99,0,wooden chair,12,See why the Hyundai PALISADE is better than the Honda Pilot ⁠ Claim based on comparison of specifications on manufacturer websites.,131,381,154.0,190524,28380,381,154.0,2.474,1.11,241,137,0,3,3,0,1.302,2,3,2,1,2,3
https://www.nytimes.com/wirecutter/reviews/best-slim-wallet/,text/html; charset=utf-8,200,Indexable,The 8 Best Slim Wallets of 2024 | Reviews by Wirecutter,55,491,"A slim wallet is best for your style and your spine. Here are the best slim and bifold wallets, all of which are less than an inch thick.",137,803,The Best Slim Wallet,20,Title:FateZero: Fusing Attentions for Zero-shot Text-based Video Editing,72,4191,678.0,806925,104208,4191,678.0,6.181,2.22,1001,858,0,24,22,0,1.119,2,2,3,3,2,3
https://www.lamborghinistore.com/us/accessories/leather-goods.html,text/html; charset=utf-8,200,Indexable,"Lamborghini Wallets, Belts, Bracelets | Lamborghini Store",57,504,"High quality men's leather goods: a wide range of leather wallets, bracelets, belts and many other fashionable items on the Lamborghini official web store.",155,950,Leather Goods,13,GUIDELINES,10,146,72.0,429470,64999,146,72.0,2.028,1.11,33,20,0,0,0,0,7.769,2,2,3,3,2,3
https://elkwoodleather.com/collections/leather-wallets-and-cardholders,text/html; charset=utf-8,200,Indexable,"Wallets & Cardholders
 – Elkwood Leather",40,365,"Introducing our 100% handmade Leather Wallets & Slim Cardholders. Meticulously handcrafted from premium full grain Italian leather, each wallet is built to last a lifetime! Elevate your everyday carry with our rugged and minimalist designs, from Men's Wallets to Cardholders. Choose durability and style. Shop now!",314,1939,Leather Wallets & Cardholders,29,Collection: Wallets & Cardholders,33,2415,569.0,584587,75851,2415,569.0,4.244,1.11,546,30,0,16,6,0,0.767,2,2,3,4,2,3
https://www.bosca.com/collections/womens-large-wallets,text/html; charset=utf-8,200,Indexable,"Women's Leather Wallets | Bosca
– Bosca Accessories",51,485,Make a style statement with our women&#39;s leather wallets in a range of styles. Choose from small options and larger ones alike to fit your needs.,148,885,Women's Leather Wallets,23,Mizzou Engineering,18,664,250.0,630299,89280,664,250.0,2.656,1.11,153,95,0,4,4,0,0.553,2,2,3,3,2,3
https://www.idstronghold.com/,text/html; charset=utf-8,200,Indexable,RFID Leather Wallets | Badge Holders | Secure Sleeves | ID Stronghold,69,613,"The original home of the RFID wallet! Protect your identity with our vast selection of RFID wallets, credit card sleeves, and secure badge holders! Free shipping available on all US retail orders.",196,1173,ID Stronghold,13,Get the best deal of the year. Over 50% off.,44,2311,493.0,373375,66588,2311,493.0,4.688,1.11,178,57,0,2,1,0,0.993,2,2,3,4,2,3
https://www.longchamp.com/us/en/women/002/small-leather-goods/002500/wallets/002500625/,text/html;charset=UTF-8,200,Indexable,Women's Wallets | Ladies Leather Wallets,40,366,"Find elegance & utility with Longchamp’s women's leather wallets. Our ladies' wallet collection is crafted for the modern woman, for every style.",145,884,Wallets women,13,Wallets Women,13,931,244.0,845129,54062,931,244.0,3.816,1.11,359,235,0,8,8,0,1.104,2,2,3,3,2,3
https://www.katespadeoutlet.com/shop/wallets/view-all,text/html; charset=utf-8,200,Indexable,Designer   Wallet Sale | kate spade outlet,42,348,"Enjoy surprise discounts and online sales deals on designer wallets and wristlets from kate spade outlet. Plus, free ground shipping on all orders over $50 to the U.S.",167,1020,all wallets & wristlets,23,Working with Normalization Rules,32,513,128.0,664633,88408,513,128.0,4.008,1.11,45,30,0,0,0,0,1.149,2,2,3,4,2,3
https://us.mcmworldwide.com/en_US/women/wallets-small-leather-goods/all-wallets,text/html;charset=UTF-8,200,Indexable,Designer Leather Wallets For Women | MCM® US,44,435,Shop All Wallets at MCM. Enjoy free ground shipping with every order.,69,433,Women's Wallets,15,Working with Normalization Rules,32,1260,490.0,1489206,249367,1260,490.0,2.571,1.11,253,225,0,5,5,0,4.347,2,2,2,3,2,3
https://littlekinggoods.com/collections/wallets,text/html; charset=utf-8,200,Indexable,Leather Wallets,15,137,"Loaded with veggies, crunchy cashews, warm spices like saffron, herbs like cilantro and mint, this Vegetable Biryani is a delight to the taste buds!",148,0,Leather Wallets,15,College of Agriculture and Life Sciences,40,815,188.0,380908,47951,815,188.0,4.335,1.11,135,68,0,15,7,0,0.626,2,2,3,1,2,3
https://anvilcustoms.com/collections/anvil-wallets,text/html; charset=utf-8,200,Indexable,Custom Leather Wallets - Leather Biker Wallets - Anvil Customs,62,557,"When you're looking at an Anvil wallet, you're seeing what leather wallets are meant to be. Every custom leather wallet here is hand made from premium leather right in the U.S.A. Whether you're shopping for yourself, your dad or the biker in your life, Anvil's wallets are made to last and look great. Don't forget to or",320,1928,All Wallets,11,ECE 205 Object Oriented Programming (4),39,1471,523.0,949640,80892,1471,523.0,2.813,1.11,283,130,0,20,8,0,1.265,2,2,3,4,2,3
https://www.ekster.com/en-gb/collections/leather-wallets,text/html; charset=utf-8,200,Indexable,"Ekster Slim Leather Wallets – Premium LWG Certified Leather
 – Ekster®",70,637,"Discover Ekster's premium leather wallets, designed for modern men – from slim leather cardholders to the smartest men's bifold leather wallets.",144,897,Leather Wallets,15,"Civil, Architectural and Environmental Engineering",50,1213,244.0,775615,110598,1213,244.0,4.971,1.11,194,84,0,16,8,0,1.382,2,2,3,3,2,3
